,mpg, cylinders, cubicinches, hp, weightlbs, time-to-60, year
194,14,8,318,150,4077,14,1973
195,41,4,98,76,2144,15,1981
196,27,4,135,84,2490,16,1982
197,43,4,90,48,1985,22,1979
198,29,4,90,70,1937,14,1976
199,33,4,85,70,1945,17,1978
200,26,4,116,75,2246,14,1975
201,23,4,140,83,2639,17,1976
202,23,8,260,90,3420,22,1980
203,19,6,225,100,3630,18,1978
204,21,4,140,72,2401,20,1974
205,15,8,390,190,3850,9,1971
206,40,4,85,65,2110,19,1981
207,18,6,250,88,3021,17,1974
208,13,8,307,130,4098,14,1973
209,25,6,168,116,2900,13,1982
210,22,6,146,97,2815,15,1978
211,17,6,231,165,3445,13,1979
212,39,4,79,58,1755,17,1982
213,30,4,79,70,2074,20,1972
214,22,6,225,100,3233,15,1977
215,32,4,119,100,2615,15,1982
216,37,4,85,65,1975,19,1982
217,14,8,351,152,4215,13,1977
218,28,6,173,115,2595,11,1980
219,15,8,302,130,4295,15,1978
220,17,6,258,95,3193,18,1977
221,21,4,121,115,2795,16,1979
222,14,8,318,150,4457,14,1975
223,16,6,168,120,3820,17,1977
224,14,8,302,137,4042,15,1974
225,32,4,83,61,2003,19,1975
226,10,8,360,215,4615,14,1971
227,31,4,76,52,1649,17,1975
228,21,6,200,85,2587,16,1971
229,27,4,140,86,2790,16,1983
230,15,8,383,170,3563,10,1971
231,28,4,120,79,2625,19,1983
232,23,4,140,78,2592,19,1976
233,16,8,318,150,4498,15,1976
234,20,4,130,102,3150,16,1977
235,44,4,97,52,2130,25,1983
236,14,8,318,150,4096,13,1972
237,20,6,200,85,2965,16,1979
238,39,4,86,64,1875,16,1982
239,23,4,122,86,2220,14,1972
240,13,8,350,145,4055,12,1977
241,18,6,225,105,3121,17,1974
242,16,8,400,180,4220,11,1978
243,25,4,110,87,2672,18,1971
244,14,8,454,220,4354,9,1971
245,15,8,318,150,3399,11,1974
246,19,8,318,140,3735,13,1979
247,44,4,90,48,2085,22,1981
248,28,4,97,75,2155,16,1977
249,29,4,135,84,2525,16,1983
250,32,4,98,70,2120,16,1981
251,24,4,121,110,2660,14,1974
252,36,5,121,67,2950,20,1981
253,13,8,350,145,3988,13,1974
254,23,6,173,110,2725,13,1982
255,24,4,113,95,2372,15,1971
256,17,8,305,130,3840,15,1980
257,36,4,91,60,1800,16,1979
258,22,6,232,112,2835,15,1983
259,18,6,232,100,3288,16,1972
260,22,6,250,105,3353,15,1977
